M.E.T. [s], Sea Level Altitude [m], Radar Altitude [m], Latitude [deg], Longitude [deg], Surface Velocity [m/s], Orbital Velocity [m/s], Vertical Speed [m/s], Ground Speed [m/s], Apoapsis [m], Time to Apoapsis [s], Periapsis [m], Time to Periapsis [s], Inclination [deg], Mass [t], Max Thrust [kN], Current Thrust [kN], T.W.R., % Terminal Velocity, Trajectory Preferred Pitch [deg], Pitch Command [deg], Vessel Pitch [deg], Heading Command [deg], Vessel Heading [deg], dv Spent [m/s], Dynamic Pressure [kPa]
39.1799999794748, 3321.21252401883, 3256.46801757813, -0.0986274629831314, -74.5409774780273, 187.560076635213, 278.891953281759, 184.607849206177, 33.1470113113738, 5080.82593759859, 19.2443471002498, -597739.619748561, 298.993156316094, 0.216193943288511, 126.799057006836, 2203.05571746826, 2202.96166229248, 1.78955918765936, NoAcc, 76.2502295575688, 76.2502295575688, 76.2435021447752, 90.4281894924378, 89.6979487338485, 579.677302137641, 0.128871049699143
40.2399999789195, 3520.43589259789, 3455.70678710938, -0.0986963734030724, -74.5374145507813, 194.856335779482, 286.511998938642, 191.235274472006, 37.3906591413227, 5412.11769984395, 19.9604296988018, -597643.686384047, 300.004468518742, 0.207855504862664, 125.834419250488, 2208.15606689453, 2208.06129455566, 1.8089193953811, NoAcc, 75.5026571420448, 75.5026571420448, 75.9497417580409, 89.57199818228, 89.7190218310615, 598.542478209564, 0.135647601177794
41.3199999783537, 3730.67037430545, 3666.38598632813, -0.0987674444913864, -74.5333251953125, 202.486515914058, 294.557429674468, 198.086474745698, 41.9825874599946, 5764.14497884922, 20.7035491383759, -597537.619217315, 301.064264794082, 0.19842061807818, 124.851577758789, 2213.18798828125, 2213.09284973145, 1.82857840957413, NoAcc, 74.765353529378, 74.765353529378, 74.905419236375, 90.390758313801, 90.2757243985231, 617.599560133455, 0.142634837539121
42.3799999777984, 3944.27459040214, 3880.4736328125, -0.0988311246037483, -74.5288467407227, 209.745243988978, 302.29872825617, 204.519486820154, 46.5279151350737, 6115.85098103434, 21.4050224240241, -597430.151809478, 302.083280493422, 0.192601001873291, 123.915306091309, 1672.53789520264, 1672.47933959961, 1.39351066474346, NoAcc, 74.0098357433515, 74.0098357433515, 74.472833191155, 89.605422960156, 89.6109757827385, 636.052661451435, 0.149511180292422
43.4599999772327, 4166.48759650462, 4103.259765625, -0.0989043712615967, -74.5238876342773, 213.020313561547, 306.84769460041, 206.976732753552, 50.3814061785149, 6393.48702527827, 21.6873726300822, -597336.528324006, 302.622463658125, 0.198726640813321, 123.247123718262, 1675.65453338623, 1675.59735870361, 1.40470781380222, NoAcc, 73.9257041706095, 73.9257041706095, 74.4879748209665, 90.3835890014952, 91.1052371642313, 650.686860464422, 0.149989739970054
44.4799999766983, 4379.227351079, 4320.1953125, -0.0989661812782288, -74.5187530517578, 216.928909087887, 311.48366932069, 210.186190883187, 53.6648559121983, 6683.33036751824, 22.0488404736905, -597254.901008539, 303.240988873088, 0.192819233716068, 119.393684387207, 1678.61169433594, 1678.55546569824, 1.45363308729795, NoAcc, 72.5428793602116, 72.5428793602116, 74.6089976022703, 90.3923419380179, 89.6798574518697, 664.979793177278, 0.151164080796662
45.5999999761116, 4616.39487829607, 4552.99609375, -0.0990416184067726, -74.5129165649414, 221.168009281254, 316.67461289987, 213.547164165585, 57.5577710328459, 6994.00205105788, 22.4296333441202, -597156.852961701, 303.904705974508, 0.204286617560135, 118.71312713623, 1681.67700195313, 1681.62173461914, 1.46576285647457, NoAcc, 71.7938695102962, 71.7938695102962, 72.622798251434, 89.5930451776828, 90.5369384186052, 680.789537594056, 0.152469323258037
46.6199999755772, 4835.58407076914, 4772.69482421875, -0.0991053581237793, -74.5071029663086, 225.10379191682, 321.850736123519, 216.436359883025, 61.8629069468648, 7281.47477862868, 22.761112242841, -597046.930388931, 304.511361021151, 0.1900519145658, 118.082061767578, 1684.46528625488, 1684.41114044189, 1.47710778701894, NoAcc, 71.1053713416449, 71.1053713416449, 70.7813618124886, 90.3815061424674, 89.5262258904396, 695.008217065417, 0.153508451083197
47.719999975001, 5075.32103510934, 5014.37158203125, -0.0991771221160889, -74.5003814697266, 229.467834842248, 327.652683275563, 219.521642569546, 66.8261600779027, 7595.32715128979, 23.1173237797317, -596917.72667675, 305.174472139627, 0.188220108053786, 117.401504516602, 1687.41026306152, 1687.35724639893, 1.48944533094388, NoAcc, 70.368992336007, 70.368992336007, 70.2175122117233, 89.6181762328041, 89.7713917241215, 710.762348439362, 0.154571788363842
48.7399999744666, 5300.68851042981, 5239.60986328125, -0.0992451831698418, -74.4936752319336, 233.691364853587, 333.202393539594, 222.457710356081, 71.5836651077762, 7892.35229866952, 23.4572777951511, -596791.22243294, 305.807903930372, 0.181187333954002, 116.770439147949, 1690.08431243896, 1690.03253936768, 1.50098313509532, NoAcc, 69.6913287587816, 69.6913287587816, 69.3309389513668, 90.3540828183856, 90.3791398706085, 725.47839125448, 0.155607125114954
